Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/IPAPER APP/006 TAO YEU CAU LAY Y KIEN_KHONG NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.099s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.011s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"ASSIGNER_COMMENT = ""Comment by assigner""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.002s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.004s,ERROR
,,,,,,,
Test Cases/IPAPER APP/010 DUYET CO DIEU KIEN_NHAP Y KIEN,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.081s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.007s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:18,21-05-2025 14:43:18,0.001s,PASSED
