Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
documentInformationScreen.checkPresentFileName(document),,,,16-05-2025 15:32:39,16-05-2025 15:32:40,1.182s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,16-05-2025 15:32:40,16-05-2025 15:32:42,1.805s,PASSED
documentInformationScreen.backToHome(),,,,16-05-2025 15:32:42,16-05-2025 15:32:46,4.618s,PASSED
homeScreen.logout(),,,,16-05-2025 15:32:46,16-05-2025 15:32:55,8.437s,PASSED
document.setAssigner(auto6),,,,16-05-2025 15:32:55,16-05-2025 15:32:55,0.004s,PASSED
loginScreen.login(auto7),,,,16-05-2025 15:32:55,16-05-2025 15:33:05,10.272s,PASSED
homeScreen.goToIncomingDocument(),,,,16-05-2025 15:33:05,16-05-2025 15:33:05,0.093s,PASSED
inComingDocument.goToRelatedDocument(),,,,16-05-2025 15:33:05,16-05-2025 15:33:07,1.796s,PASSED
relatedDocumentScreen.viewInformationDocument(document),,,,16-05-2025 15:33:07,16-05-2025 15:33:20,13.435s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,16-05-2025 15:33:20,16-05-2025 15:33:26,5.301s,PASSED
documentInformationScreen.checkSender(document),,,,16-05-2025 15:33:26,16-05-2025 15:33:26,0.141s,PASSED
documentInformationScreen.checkStatus(document),,,,16-05-2025 15:33:26,16-05-2025 15:33:26,0.146s,PASSED
documentInformationScreen.checkCreateDate(),,,,16-05-2025 15:33:26,16-05-2025 15:33:26,0.163s,PASSED
documentInformationScreen.checkFinishDate(document),,,,16-05-2025 15:33:26,16-05-2025 15:33:26,0.156s,PASSED
documentInformationScreen.checkPriority(document),,,,16-05-2025 15:33:26,16-05-2025 15:33:26,0.156s,PASSED
documentInformationScreen.checkDescription(document),,,,16-05-2025 15:33:26,16-05-2025 15:33:27,0.167s,PASSED
documentInformationScreen.checkAssigner(document),,,,16-05-2025 15:33:27,16-05-2025 15:33:28,1.382s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,16-05-2025 15:33:28,16-05-2025 15:33:34,5.486s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,16-05-2025 15:33:34,16-05-2025 15:33:35,1.677s,PASSED
documentInformationScreen.checkUserCannotEditDocument(),,,,16-05-2025 15:33:35,16-05-2025 15:33:47,11.599s,PASSED
Start listener action : afterTest,,,,16-05-2025 15:33:47,16-05-2025 15:33:48,1.140s,PASSED
