Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:52:03,23-05-2025 22:52:05,1.835s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:52:05,23-05-2025 22:52:09,4.566s,PASSED
homeScreen.logout(),,,,23-05-2025 22:52:09,23-05-2025 22:52:18,8.466s,PASSED
document.setAssigner(auto6),,,,23-05-2025 22:52:18,23-05-2025 22:52:18,0.001s,PASSED
loginScreen.login(auto7),,,,23-05-2025 22:52:18,23-05-2025 22:52:26,8.462s,PASSED
homeScreen.goToIncomingDocument(),,,,23-05-2025 22:52:26,23-05-2025 22:52:27,0.112s,PASSED
inComingDocument.goToRelatedDocument(),,,,23-05-2025 22:52:27,23-05-2025 22:52:28,1.826s,PASSED
relatedDocumentScreen.viewInformationDocument(document),,,,23-05-2025 22:52:28,23-05-2025 22:52:33,4.643s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,23-05-2025 22:52:33,23-05-2025 22:52:38,5.225s,PASSED
documentInformationScreen.checkSender(document),,,,23-05-2025 22:52:38,23-05-2025 22:52:38,0.100s,PASSED
documentInformationScreen.checkStatus(document),,,,23-05-2025 22:52:38,23-05-2025 22:52:38,0.128s,PASSED
documentInformationScreen.checkCreateDate(),,,,23-05-2025 22:52:38,23-05-2025 22:52:39,0.139s,PASSED
documentInformationScreen.checkFinishDate(document),,,,23-05-2025 22:52:39,23-05-2025 22:52:39,0.112s,PASSED
documentInformationScreen.checkPriority(document),,,,23-05-2025 22:52:39,23-05-2025 22:52:39,0.132s,PASSED
documentInformationScreen.checkDescription(document),,,,23-05-2025 22:52:39,23-05-2025 22:52:39,0.158s,PASSED
documentInformationScreen.checkAssigner(document),,,,23-05-2025 22:52:39,23-05-2025 22:52:40,1.462s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,23-05-2025 22:52:40,23-05-2025 22:52:42,1.102s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,23-05-2025 22:52:42,23-05-2025 22:52:43,1.828s,PASSED
documentInformationScreen.checkUserCannotEditDocument(),,,,23-05-2025 22:52:43,23-05-2025 22:52:55,11.899s,PASSED
Start listener action : afterTest,,,,23-05-2025 22:52:55,23-05-2025 22:52:56,0.613s,PASSED
,,,,,,,
Test Cases/IPAPER APP/003 TAO YEU CAU KHONG CO ASSIGNER,,,,23-05-2025 22:52:56,23-05-2025 22:56:19,3m - 22.843s,PASSED
Start listener action : beforeTest,,,,23-05-2025 22:52:56,23-05-2025 22:52:59,2.600s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.000s,PASSED
"STATUS = ""Đang đợi xử lý""",,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.000s,PASSED
"ERROR_MESSAGE = ""Vui lòng nhập Email người nhận""",,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.001s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.000s,PASSED
auto7 = DataTest.getUserTest7(),,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.000s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,23-05-2025 22:52:59,23-05-2025 22:52:59,0.001s,PASSED
loginScreen.login(auto5),,,,23-05-2025 22:52:59,23-05-2025 22:53:06,7.301s,PASSED
homeScreen.openRequestList(),,,,23-05-2025 22:53:06,23-05-2025 22:53:11,5.461s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,23-05-2025 22:53:11,23-05-2025 22:53:17,6.108s,PASSED
pdfSignScreen.fillInTitle(title),,,,23-05-2025 22:53:17,23-05-2025 22:53:20,2.559s,PASSED
pdfSignScreen.selectPriority(priority),,,,23-05-2025 22:53:20,23-05-2025 22:53:23,2.531s,PASSED
pdfSignScreen.selectTime(time),,,,23-05-2025 22:53:23,23-05-2025 22:53:25,2.526s,PASSED
pdfSignScreen.fillInDescription(description),,,,23-05-2025 22:53:25,23-05-2025 22:53:28,2.509s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,23-05-2025 22:53:28,23-05-2025 22:53:29,1.087s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,23-05-2025 22:53:29,23-05-2025 22:53:38,9.651s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,23-05-2025 22:53:38,23-05-2025 22:53:43,5.120s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,23-05-2025 22:53:43,23-05-2025 22:53:53,9.262s,PASSED
pdfSignScreen.selectRelatedMember(getCc().getEmail()),,,,23-05-2025 22:53:53,23-05-2025 22:53:59,6.130s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,23-05-2025 22:53:59,23-05-2025 22:54:02,2.771s,PASSED
pdfSignScreen.submitErrorPopup(),,,,23-05-2025 22:54:02,23-05-2025 22:54:02,0.704s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,23-05-2025 22:54:02,23-05-2025 22:54:08,5.564s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,23-05-2025 22:54:08,23-05-2025 22:54:11,2.899s,PASSED
document.setStatus(WAIT_APPROVE),,,,23-05-2025 22:54:11,23-05-2025 22:54:11,0.001s,PASSED
pdfSignScreen.fillInOpinion(document.getComment()),,,,23-05-2025 22:54:11,23-05-2025 22:54:12,0.859s,PASSED
pdfSignScreen.submitRequest(),,,,23-05-2025 22:54:12,23-05-2025 22:54:20,8.003s,PASSED
documentInformationScreen.backToHome(),,,,23-05-2025 22:54:20,23-05-2025 22:54:20,0.251s,PASSED
homeScreen.goToOutComingDocument(),,,,23-05-2025 22:54:20,23-05-2025 22:54:30,10.179s,PASSED
outComingDocument.viewInformationDocument(document),,,,23-05-2025 22:54:30,23-05-2025 22:54:31,1.189s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,23-05-2025 22:54:31,23-05-2025 22:54:36,4.817s,PASSED
documentInformationScreen.checkSender(document),,,,23-05-2025 22:54:36,23-05-2025 22:54:36,0.118s,PASSED
documentInformationScreen.checkStatus(document),,,,23-05-2025 22:54:36,23-05-2025 22:54:36,0.132s,PASSED
documentInformationScreen.checkFinishDate(document),,,,23-05-2025 22:54:36,23-05-2025 22:54:36,0.129s,PASSED
documentInformationScreen.checkPriority(document),,,,23-05-2025 22:54:36,23-05-2025 22:54:37,0.140s,PASSED
documentInformationScreen.checkDescription(document),,,,23-05-2025 22:54:37,23-05-2025 22:54:37,0.158s,PASSED
documentInformationScreen.checkAssigner(document),,,,23-05-2025 22:54:37,23-05-2025 22:54:38,1.461s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,23-05-2025 22:54:38,23-05-2025 22:54:39,1.085s,PASSED
