Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checklist,,,,22-05-2025 15:56:29,22-05-2025 17:03:46,1h - 7m - 16.916s,ERROR
,,,,,,,
Test Cases/IPAPER APP/002 TAO YEU CAU,,,,22-05-2025 15:56:33,22-05-2025 15:57:00,27.033s,ERROR
Start listener action : beforeTest,,,,22-05-2025 15:56:33,22-05-2025 15:56:36,2.780s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,22-05-2025 15:56:36,22-05-2025 15:56:36,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,22-05-2025 15:56:36,22-05-2025 15:56:36,0.006s,PASSED
auto5 = DataTest.getUserTest5(),,,,22-05-2025 15:56:36,22-05-2025 15:56:36,0.007s,PASSED
auto6 = DataTest.getUserTest6(),,,,22-05-2025 15:56:36,22-05-2025 15:56:36,0.001s,PASSED
auto7 = DataTest.getUserTest7(),,,,22-05-2025 15:56:36,22-05-2025 15:56:36,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,22-05-2025 15:56:36,22-05-2025 15:56:36,0.027s,PASSED
loginScreen.login(auto5),,,,22-05-2025 15:56:36,22-05-2025 15:56:51,14.545s,PASSED
homeScreen.openRequestList(),,,,22-05-2025 15:56:51,22-05-2025 15:56:59,8.078s,ERROR
Start listener action : afterTest,,,,22-05-2025 15:56:59,22-05-2025 15:57:00,1.465s,PASSED
,,,,,,,
Test Cases/IPAPER APP/003 TAO YEU CAU KHONG CO ASSIGNER,,,,22-05-2025 15:57:00,22-05-2025 16:01:39,4m - 38.134s,PASSED
Start listener action : beforeTest,,,,22-05-2025 15:57:01,22-05-2025 15:57:03,2.021s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.001s,PASSED
"STATUS = ""Đang đợi xử lý""",,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.000s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.001s,PASSED
"ERROR_MESSAGE = ""Vui lòng nhập Email người nhận""",,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.001s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.000s,PASSED
auto7 = DataTest.getUserTest7(),,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,22-05-2025 15:57:03,22-05-2025 15:57:03,0.000s,PASSED
loginScreen.login(auto5),,,,22-05-2025 15:57:03,22-05-2025 15:57:17,13.942s,PASSED
homeScreen.openRequestList(),,,,22-05-2025 15:57:17,22-05-2025 15:57:22,5.462s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,22-05-2025 15:57:22,22-05-2025 15:57:27,4.678s,PASSED
pdfSignScreen.fillInTitle(title),,,,22-05-2025 15:57:27,22-05-2025 15:57:30,3.583s,PASSED
pdfSignScreen.selectPriority(priority),,,,22-05-2025 15:57:30,22-05-2025 15:57:32,2.136s,PASSED
pdfSignScreen.selectTime(time),,,,22-05-2025 15:57:32,22-05-2025 15:57:36,3.192s,PASSED
pdfSignScreen.fillInDescription(description),,,,22-05-2025 15:57:36,22-05-2025 15:57:37,1.862s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,22-05-2025 15:57:38,22-05-2025 15:57:44,6.168s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,22-05-2025 15:57:44,22-05-2025 15:57:49,5.295s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,22-05-2025 15:57:49,22-05-2025 15:57:59,10.201s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,22-05-2025 15:57:59,22-05-2025 15:58:01,1.548s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,22-05-2025 15:58:01,22-05-2025 15:58:13,12.096s,PASSED
pdfSignScreen.selectRelatedMember(getCc().getEmail()),,,,22-05-2025 15:58:13,22-05-2025 15:58:19,5.849s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,22-05-2025 15:58:19,22-05-2025 15:58:23,4.169s,PASSED
document.setStatus(WAIT_APPROVE),,,,22-05-2025 15:58:23,22-05-2025 15:58:23,0.016s,PASSED
pdfSignScreen.fillInOpinion(document.getComment()),,,,22-05-2025 15:58:23,22-05-2025 15:58:24,0.864s,PASSED
pdfSignScreen.submitRequest(),,,,22-05-2025 15:58:24,22-05-2025 15:58:39,15.168s,PASSED
documentInformationScreen.backToHome(),,,,22-05-2025 15:58:39,22-05-2025 15:58:39,0.248s,PASSED
homeScreen.goToOutComingDocument(),,,,22-05-2025 15:58:39,22-05-2025 15:58:49,10.107s,PASSED
outComingDocument.viewInformationDocument(document),,,,22-05-2025 15:58:49,22-05-2025 15:58:51,1.286s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,22-05-2025 15:58:51,22-05-2025 15:59:03,12.943s,PASSED
documentInformationScreen.checkSender(document),,,,22-05-2025 15:59:03,22-05-2025 15:59:04,0.120s,PASSED
documentInformationScreen.checkStatus(document),,,,22-05-2025 15:59:04,22-05-2025 15:59:04,0.141s,PASSED
documentInformationScreen.checkFinishDate(document),,,,22-05-2025 15:59:04,22-05-2025 15:59:04,0.154s,PASSED
documentInformationScreen.checkPriority(document),,,,22-05-2025 15:59:04,22-05-2025 15:59:04,0.161s,PASSED
documentInformationScreen.checkDescription(document),,,,22-05-2025 15:59:04,22-05-2025 15:59:04,0.179s,PASSED
documentInformationScreen.checkAssigner(document),,,,22-05-2025 15:59:04,22-05-2025 15:59:06,1.490s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,22-05-2025 15:59:06,22-05-2025 15:59:07,1.155s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,22-05-2025 15:59:07,22-05-2025 15:59:09,1.854s,PASSED
documentInformationScreen.backToHome(),,,,22-05-2025 15:59:09,22-05-2025 15:59:13,4.548s,PASSED
outComingDocument.checkItemInDocument(),,,,22-05-2025 15:59:13,22-05-2025 15:59:13,0.005s,PASSED
homeScreen.logout(),,,,22-05-2025 15:59:13,22-05-2025 15:59:22,8.791s,PASSED
document.setAssigner(auto5),,,,22-05-2025 15:59:22,22-05-2025 15:59:22,0.003s,PASSED
loginScreen.login(auto6),,,,22-05-2025 15:59:22,22-05-2025 15:59:38,15.754s,PASSED
homeScreen.goToIncomingDocument(),,,,22-05-2025 15:59:38,22-05-2025 15:59:38,0.116s,PASSED
inComingDocument.viewInformationDocument(document),,,,22-05-2025 15:59:38,22-05-2025 16:00:02,24.519s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,22-05-2025 16:00:02,22-05-2025 16:00:03,0.415s,PASSED
documentInformationScreen.checkSender(document),,,,22-05-2025 16:00:03,22-05-2025 16:00:03,0.129s,PASSED
documentInformationScreen.checkStatus(document),,,,22-05-2025 16:00:03,22-05-2025 16:00:03,0.131s,PASSED
documentInformationScreen.checkFinishDate(document),,,,22-05-2025 16:00:03,22-05-2025 16:00:03,0.127s,PASSED
documentInformationScreen.checkPriority(document),,,,22-05-2025 16:00:03,22-05-2025 16:00:03,0.128s,PASSED
documentInformationScreen.checkDescription(document),,,,22-05-2025 16:00:03,22-05-2025 16:00:04,0.156s,PASSED
documentInformationScreen.checkAssigner(document),,,,22-05-2025 16:00:04,22-05-2025 16:00:05,1.359s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,22-05-2025 16:00:05,22-05-2025 16:00:06,1.140s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,22-05-2025 16:00:06,22-05-2025 16:00:08,1.760s,PASSED
documentInformationScreen.backToHome(),,,,22-05-2025 16:00:08,22-05-2025 16:00:12,4.606s,PASSED
inComingDocument.checkItemInDocument(),,,,22-05-2025 16:00:12,22-05-2025 16:00:12,0.003s,PASSED
homeScreen.logout(),,,,22-05-2025 16:00:12,22-05-2025 16:00:21,8.688s,PASSED
document.setAssigner(auto6),,,,22-05-2025 16:00:21,22-05-2025 16:00:21,0.006s,PASSED
loginScreen.login(auto7),,,,22-05-2025 16:00:21,22-05-2025 16:00:41,19.902s,PASSED
homeScreen.goToIncomingDocument(),,,,22-05-2025 16:00:41,22-05-2025 16:00:42,0.762s,PASSED
inComingDocument.goToRelatedDocument(),,,,22-05-2025 16:00:42,22-05-2025 16:00:43,1.206s,PASSED
relatedDocumentScreen.viewInformationDocument(document),,,,22-05-2025 16:00:43,22-05-2025 16:01:03,19.976s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,22-05-2025 16:01:03,22-05-2025 16:01:17,13.993s,PASSED
documentInformationScreen.checkSender(document),,,,22-05-2025 16:01:17,22-05-2025 16:01:17,0.121s,PASSED
documentInformationScreen.checkStatus(document),,,,22-05-2025 16:01:17,22-05-2025 16:01:17,0.116s,PASSED
documentInformationScreen.checkFinishDate(document),,,,22-05-2025 16:01:17,22-05-2025 16:01:17,0.123s,PASSED
documentInformationScreen.checkPriority(document),,,,22-05-2025 16:01:17,22-05-2025 16:01:17,0.135s,PASSED
documentInformationScreen.checkDescription(document),,,,22-05-2025 16:01:17,22-05-2025 16:01:18,0.154s,PASSED
documentInformationScreen.checkAssigner(document),,,,22-05-2025 16:01:18,22-05-2025 16:01:19,1.448s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,22-05-2025 16:01:19,22-05-2025 16:01:20,1.038s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,22-05-2025 16:01:20,22-05-2025 16:01:22,1.718s,PASSED
documentInformationScreen.checkUserCannotEditDocument(),,,,22-05-2025 16:01:22,22-05-2025 16:01:34,11.747s,PASSED
documentInformationScreen.backToHome(),,,,22-05-2025 16:01:34,22-05-2025 16:01:38,4.515s,PASSED
Start listener action : afterTest,,,,22-05-2025 16:01:38,22-05-2025 16:01:39,0.530s,PASSED
,,,,,,,
Test Cases/IPAPER APP/004 TAO YEU CAU LAY Y KIEN_1 NGUOI,,,,22-05-2025 16:01:39,22-05-2025 16:04:22,2m - 43.818s,PASSED
Start listener action : beforeTest,,,,22-05-2025 16:01:39,22-05-2025 16:01:41,2.604s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.000s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.000s,PASSED
"ASSIGNER_COMMENT = ""Comment by assigner""",,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.000s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.000s,PASSED
auto5 = DataTest.getUserTest5(),,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.000s,PASSED
auto6 = DataTest.getUserTest6(),,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,22-05-2025 16:01:41,22-05-2025 16:01:41,0.001s,PASSED
loginScreen.login(auto5),,,,22-05-2025 16:01:41,22-05-2025 16:01:55,14.087s,PASSED
