Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,,,,21-05-2025 13:18:33,21-05-2025 14:19:07,1h - 33.651s,ERROR
,,,,,,,
Test Cases/IPAPER APP/002 TAO YEU CAU,,,,21-05-2025 13:18:39,21-05-2025 13:23:27,4m - 48.679s,ERROR
Start listener action : beforeTest,,,,21-05-2025 13:18:39,21-05-2025 13:18:41,2.055s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 13:18:41,21-05-2025 13:18:41,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,21-05-2025 13:18:41,21-05-2025 13:18:41,0.008s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 13:18:41,21-05-2025 13:18:41,0.009s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 13:18:41,21-05-2025 13:18:41,0.001s,PASSED
auto7 = DataTest.getUserTest7(),,,,21-05-2025 13:18:41,21-05-2025 13:18:41,0.002s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 13:18:41,21-05-2025 13:18:41,0.029s,PASSED
loginScreen.login(auto5),,,,21-05-2025 13:18:41,21-05-2025 13:18:51,10.102s,PASSED
homeScreen.openRequestList(),,,,21-05-2025 13:18:51,21-05-2025 13:18:52,0.650s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,21-05-2025 13:18:52,21-05-2025 13:18:55,3.347s,PASSED
pdfSignScreen.fillInTitle(title),,,,21-05-2025 13:18:55,21-05-2025 13:18:58,2.443s,PASSED
pdfSignScreen.selectPriority(priority),,,,21-05-2025 13:18:58,21-05-2025 13:19:03,5.309s,PASSED
pdfSignScreen.selectTime(time),,,,21-05-2025 13:19:03,21-05-2025 13:19:12,9.269s,PASSED
pdfSignScreen.fillInDescription(description),,,,21-05-2025 13:19:12,21-05-2025 13:19:15,3.138s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,21-05-2025 13:19:15,21-05-2025 13:19:29,14.072s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,21-05-2025 13:19:29,21-05-2025 13:19:31,2.009s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,21-05-2025 13:19:31,21-05-2025 13:19:41,9.763s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,21-05-2025 13:19:41,21-05-2025 13:19:43,1.927s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,21-05-2025 13:19:43,21-05-2025 13:19:50,7.389s,PASSED
pdfSignScreen.selectRelatedMember(getCc().getEmail()),,,,21-05-2025 13:19:50,21-05-2025 13:20:01,10.081s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,21-05-2025 13:20:01,21-05-2025 13:20:03,2.753s,PASSED
pdfSignScreen.fillInOpinion(document.getComment()),,,,21-05-2025 13:20:03,21-05-2025 13:20:06,2.287s,PASSED
pdfSignScreen.submitRequest(),,,,21-05-2025 13:20:06,21-05-2025 13:20:12,6.662s,PASSED
document.setStatus(WAIT_APPROVE),,,,21-05-2025 13:20:12,21-05-2025 13:20:12,0.020s,PASSED
documentInformationScreen.backToHome(),,,,21-05-2025 13:20:12,21-05-2025 13:20:13,0.500s,PASSED
homeScreen.goToOutComingDocument(),,,,21-05-2025 13:20:13,21-05-2025 13:20:21,8.589s,PASSED
outComingDocument.viewInformationDocument(document),,,,21-05-2025 13:20:21,21-05-2025 13:20:33,11.348s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,21-05-2025 13:20:33,21-05-2025 13:20:40,7.547s,PASSED
