Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:20:04,18-05-2025 14:20:09,5.362s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:20:09,18-05-2025 14:20:11,1.797s,PASSED
"documentInformationScreen.checkAssigners(auto6, auto7, auto8)",,,,18-05-2025 14:20:11,18-05-2025 14:20:16,5.033s,PASSED
Start listener action : afterTest,,,,18-05-2025 14:20:16,18-05-2025 14:20:17,0.609s,PASSED
,,,,,,,
Test Cases/IPAPER APP/058 TẠO QUY TRINH_1 BUOC,,,,18-05-2025 14:20:17,18-05-2025 14:22:34,2m - 16.948s,PASSED
Start listener action : beforeTest,,,,18-05-2025 14:20:17,18-05-2025 14:20:20,2.684s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,18-05-2025 14:20:20,18-05-2025 14:20:20,0.002s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,18-05-2025 14:20:20,18-05-2025 14:20:20,0.003s,PASSED
"auto5 = DataTest.getUserTest(""auto5"")",,,,18-05-2025 14:20:20,18-05-2025 14:20:20,0.002s,PASSED
"auto6 = DataTest.getUserTest(""auto6"")",,,,18-05-2025 14:20:20,18-05-2025 14:20:20,0.000s,PASSED
"auto7 = DataTest.getUserTest(""auto7"")",,,,18-05-2025 14:20:20,18-05-2025 14:20:20,0.002s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,18-05-2025 14:20:20,18-05-2025 14:20:20,0.001s,PASSED
loginScreen.login(auto5),,,,18-05-2025 14:20:20,18-05-2025 14:20:28,7.987s,PASSED
homeScreen.openRequestList(),,,,18-05-2025 14:20:28,18-05-2025 14:20:33,5.386s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,18-05-2025 14:20:33,18-05-2025 14:20:37,4.006s,PASSED
pdfSignScreen.fillInTitle(title),,,,18-05-2025 14:20:37,18-05-2025 14:20:41,3.231s,PASSED
pdfSignScreen.selectPriority(priority),,,,18-05-2025 14:20:41,18-05-2025 14:20:43,2.417s,PASSED
pdfSignScreen.selectTime(time),,,,18-05-2025 14:20:43,18-05-2025 14:20:46,2.581s,PASSED
pdfSignScreen.fillInDescription(description),,,,18-05-2025 14:20:46,18-05-2025 14:20:47,1.682s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,18-05-2025 14:20:47,18-05-2025 14:20:48,1.001s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,18-05-2025 14:20:48,18-05-2025 14:20:54,6.045s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,18-05-2025 14:20:54,18-05-2025 14:20:59,5.052s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,18-05-2025 14:20:59,18-05-2025 14:21:05,6.149s,PASSED
pdfSignScreen.processDefinition(auto6),,,,18-05-2025 14:21:05,18-05-2025 14:21:15,9.373s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,18-05-2025 14:21:15,18-05-2025 14:21:16,1.609s,PASSED
pdfSignScreen.fillInOpinion(document.getComment()),,,,18-05-2025 14:21:16,18-05-2025 14:21:18,1.962s,PASSED
pdfSignScreen.submitRequest(),,,,18-05-2025 14:21:18,18-05-2025 14:21:27,8.160s,PASSED
document.setStatus(WAIT_APPROVE),,,,18-05-2025 14:21:27,18-05-2025 14:21:27,0.002s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:21:27,18-05-2025 14:21:27,0.242s,PASSED
homeScreen.goToOutComingDocument(),,,,18-05-2025 14:21:27,18-05-2025 14:21:36,9.334s,PASSED
outComingDocument.viewInformationDocument(document),,,,18-05-2025 14:21:36,18-05-2025 14:21:37,1.234s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:21:37,18-05-2025 14:21:42,4.713s,PASSED
documentInformationScreen.checkSender(document),,,,18-05-2025 14:21:42,18-05-2025 14:21:42,0.120s,PASSED
documentInformationScreen.checkStatus(document),,,,18-05-2025 14:21:42,18-05-2025 14:21:42,0.107s,PASSED
documentInformationScreen.checkCreateDate(),,,,18-05-2025 14:21:42,18-05-2025 14:21:42,0.120s,PASSED
documentInformationScreen.checkFinishDate(document),,,,18-05-2025 14:21:42,18-05-2025 14:21:43,0.115s,PASSED
documentInformationScreen.checkPriority(document),,,,18-05-2025 14:21:43,18-05-2025 14:21:43,0.135s,PASSED
documentInformationScreen.checkDescription(document),,,,18-05-2025 14:21:43,18-05-2025 14:21:43,0.134s,PASSED
documentInformationScreen.checkAssigner(document),,,,18-05-2025 14:21:43,18-05-2025 14:21:44,1.407s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:21:44,18-05-2025 14:21:45,1.010s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:21:45,18-05-2025 14:21:47,1.746s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:21:47,18-05-2025 14:21:52,5.078s,PASSED
homeScreen.logout(),,,,18-05-2025 14:21:52,18-05-2025 14:22:00,8.228s,PASSED
loginScreen.login(auto6),,,,18-05-2025 14:22:00,18-05-2025 14:22:09,8.972s,PASSED
document.setAssigner(auto5),,,,18-05-2025 14:22:09,18-05-2025 14:22:09,0.000s,PASSED
homeScreen.goToIncomingDocument(),,,,18-05-2025 14:22:09,18-05-2025 14:22:09,0.102s,PASSED
inComingDocument.viewInformationDocument(document),,,,18-05-2025 14:22:09,18-05-2025 14:22:15,5.536s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:22:15,18-05-2025 14:22:15,0.360s,PASSED
documentInformationScreen.checkSender(document),,,,18-05-2025 14:22:15,18-05-2025 14:22:15,0.097s,PASSED
documentInformationScreen.checkStatus(document),,,,18-05-2025 14:22:15,18-05-2025 14:22:15,0.112s,PASSED
documentInformationScreen.checkCreateDate(),,,,18-05-2025 14:22:15,18-05-2025 14:22:16,0.128s,PASSED
documentInformationScreen.checkFinishDate(document),,,,18-05-2025 14:22:16,18-05-2025 14:22:16,0.135s,PASSED
documentInformationScreen.checkPriority(document),,,,18-05-2025 14:22:16,18-05-2025 14:22:16,0.141s,PASSED
documentInformationScreen.checkDescription(document),,,,18-05-2025 14:22:16,18-05-2025 14:22:16,0.186s,PASSED
documentInformationScreen.checkAssigner(document),,,,18-05-2025 14:22:16,18-05-2025 14:22:17,1.435s,PASSED
documentInformationScreen.checkPresentFileName(document),,,,18-05-2025 14:22:17,18-05-2025 14:22:19,1.048s,PASSED
documentInformationScreen.checkAttachFileName(document),,,,18-05-2025 14:22:19,18-05-2025 14:22:20,1.851s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:22:20,18-05-2025 14:22:25,4.526s,PASSED
homeScreen.logout(),,,,18-05-2025 14:22:25,18-05-2025 14:22:33,8.342s,PASSED
Start listener action : afterTest,,,,18-05-2025 14:22:33,18-05-2025 14:22:34,0.555s,PASSED
,,,,,,,
Test Cases/IPAPER APP/002 TAO YEU CAU,,,,18-05-2025 14:22:34,18-05-2025 14:25:33,2m - 59.515s,PASSED
Start listener action : beforeTest,,,,18-05-2025 14:22:34,18-05-2025 14:22:36,2.577s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,18-05-2025 14:22:36,18-05-2025 14:22:36,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,18-05-2025 14:22:36,18-05-2025 14:22:36,0.001s,PASSED
"auto5 = DataTest.getUserTest(""auto5"")",,,,18-05-2025 14:22:36,18-05-2025 14:22:36,0.001s,PASSED
"auto6 = DataTest.getUserTest(""auto6"")",,,,18-05-2025 14:22:36,18-05-2025 14:22:36,0.000s,PASSED
"auto7 = DataTest.getUserTest(""auto7"")",,,,18-05-2025 14:22:36,18-05-2025 14:22:36,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,18-05-2025 14:22:36,18-05-2025 14:22:36,0.002s,PASSED
loginScreen.login(auto5),,,,18-05-2025 14:22:36,18-05-2025 14:22:44,7.270s,PASSED
homeScreen.openRequestList(),,,,18-05-2025 14:22:44,18-05-2025 14:22:49,5.198s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,18-05-2025 14:22:49,18-05-2025 14:22:53,3.799s,PASSED
pdfSignScreen.fillInTitle(title),,,,18-05-2025 14:22:53,18-05-2025 14:22:56,2.994s,PASSED
pdfSignScreen.selectPriority(priority),,,,18-05-2025 14:22:56,18-05-2025 14:22:58,2.498s,PASSED
pdfSignScreen.selectTime(time),,,,18-05-2025 14:22:58,18-05-2025 14:23:01,2.965s,PASSED
pdfSignScreen.fillInDescription(description),,,,18-05-2025 14:23:01,18-05-2025 14:23:03,1.803s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,18-05-2025 14:23:03,18-05-2025 14:23:08,4.868s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,18-05-2025 14:23:08,18-05-2025 14:23:14,6.074s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,18-05-2025 14:23:14,18-05-2025 14:23:19,5.153s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,18-05-2025 14:23:19,18-05-2025 14:23:21,1.527s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,18-05-2025 14:23:21,18-05-2025 14:23:27,6.244s,PASSED
pdfSignScreen.selectRelatedMember(getCc().getEmail()),,,,18-05-2025 14:23:27,18-05-2025 14:23:34,7.332s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,18-05-2025 14:23:34,18-05-2025 14:23:37,2.756s,PASSED
pdfSignScreen.fillInOpinion(document.getComment()),,,,18-05-2025 14:23:37,18-05-2025 14:23:38,0.786s,PASSED
pdfSignScreen.submitRequest(),,,,18-05-2025 14:23:38,18-05-2025 14:23:46,7.894s,PASSED
document.setStatus(WAIT_APPROVE),,,,18-05-2025 14:23:46,18-05-2025 14:23:46,0.001s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:23:46,18-05-2025 14:23:46,0.220s,PASSED
homeScreen.goToOutComingDocument(),,,,18-05-2025 14:23:46,18-05-2025 14:23:56,9.778s,PASSED
outComingDocument.viewInformationDocument(document),,,,18-05-2025 14:23:56,18-05-2025 14:23:57,1.164s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:23:57,18-05-2025 14:24:02,4.739s,PASSED
documentInformationScreen.checkSender(document),,,,18-05-2025 14:24:02,18-05-2025 14:24:02,0.107s,PASSED
documentInformationScreen.checkStatus(document),,,,18-05-2025 14:24:02,18-05-2025 14:24:02,0.127s,PASSED
documentInformationScreen.checkCreateDate(),,,,18-05-2025 14:24:02,18-05-2025 14:24:02,0.139s,PASSED
documentInformationScreen.checkFinishDate(document),,,,18-05-2025 14:24:02,18-05-2025 14:24:02,0.127s,PASSED
documentInformationScreen.checkPriority(document),,,,18-05-2025 14:24:02,18-05-2025 14:24:02,0.150s,PASSED
